name,link,desc,type
Bay Area Model Engineering Club,http://www.baemclub.com,,Other Clubs
Bluewater Model Engineering Society,https://sites.google.com/site/bluewatermes/,,Other Clubs
Chesapeake Area Metalworking Society,http://www.cams-club.org/,,Other Clubs
Florida Association of Model Engineers,http://www.floridaame.org ,,Other Clubs
The Hobby-Machinist Forum,http://hobby-machinist.com/index.php?topic=372.0,,Other Clubs
Houston Home Metal Shop Club,http://www.homemetalshopclub.org/,,Other Clubs
Long Island Live Steamers,http://www.longislandlivesteamers.org,,Other Clubs
Long Island Antique Power Association,http://www.liapa.com/,,Other Clubs
Metro Detroit Metalworking Club,http://www.metrodetroitmetalworkers.com/,,Other Clubs
Midwest Model Builders,http://www.blackhillsmodelengineeringshow.net/index.html,,Other Clubs
N.A.M.E.S. - North American Model Engineering Society,http://www.namesexposition.com/,,Other Clubs
Pennsylvania Live Steamers,http://www.palivesteamers.org/,,Other Clubs
Pioneer Valley Live Steamers,http://www.pvls.org/,,Other Clubs
Portland Model Engineers,http://users.easystreet.com/depmco/pme/,,Other Clubs
Portland (MI) Machinist Guild,http://www.portlandmachinistguild.org/,,Other Clubs
Ridge Live Steamers,http://www.ridgelivesteamers.org/,,Other Clubs
Southern California Home Shop Machinists,http://www.schsm.com/,,Other Clubs
South Shore Model Railway Club,http://www.ssmrc.org/,,Other Clubs
Southwest Michigan Home-shop Machinists group,https://sites.google.com/site/swmichhomeshopmachinists/home,,Other Clubs
Toronto Society of Model Engineers.,http://www.tsme.ca,,Other Clubs
Tobacco Valley Flywheelers,http://www.oldengine.org/members/tvf/,,Other Clubs
Waushakum Live Steamers,http://www.waushakumlivesteamers.org/,,Other Clubs
Dick Koolish,http://www.dickkoolish.com/rmk_page/pictures.html,NEMES photos and related events,NEMES Member Web Sites
Richard Baker,http://www.onthewaterinventing.com,On the Water Inventing,NEMES Member Web Sites
James Lea,http://www.jamesleaclocks.com,Horological Machining,NEMES Member Web Sites
Martin Model and Pattern,http://www.martinmodel.com/,A diverse assortment of castings and kits,Vendors
Capital Steel and Wire,https://www.capitalsteel.net/news/blog/metal-working-resources,A metalworking resource page,
Peterson Steel,http://www.petersonsteel.com/,Peterson Steel in Worcester MA,Vendors
Steelbuilding.com,http://www.steelbuilding.com/buildings/buildings_main.htm,On line steel building supplier,Vendors
Taig Tools,http://www.taigtools.com/,Taig tool home page,Vendors
